"";"key";"numDMI";"Criterio"
"246";"0013a20040ebcd67";"AA0503";"sin datos 1 mes"
"247";"0013a20040ebcc8b";"AA0504";"sin datos 1 mes"
"248";"0013a20040ebcd6e";"AA0505";"sin datos 1 mes"
"249";"0013a20040ebcd6c";"AA0507";"sin datos 1 mes"
"250";"0013a20040ebcd6a";"AA0508";"sin datos 1 mes"
"251";"0013a20040ebcd66";"AA0509";"sin datos 1 mes"
"252";"0013a20040ebcd62";"AA0510";"sin datos 1 mes"
"253";"0013a20040ebc899";"AA0518";"sin datos 1 mes"
"254";"0013a20040ebc894";"AA0519";"sin datos 1 mes"
"255";"0013a20040ebb02b";"AA0521";"sin datos 1 mes"
"256";"0013a20040ebc897";"AA0524";"sin datos 1 mes"
"257";"0013a20040ebb01b";"AA0527";"sin datos 1 mes"
"258";"0013a20040ebb024";"AA0528";"sin datos 1 mes"
"259";"0013a20040ebb025";"AA0529";"sin datos 1 mes"
"260";"0013a20040ebb023";"AA0530";"sin datos 1 mes"
"261";"0013a20040ebb020";"AA0531";"sin datos 1 mes"
"262";"0013a20040ebae7d";"AA0538";"sin datos 1 mes"
"263";"0013a20040ebaf28";"AA0540";"sin datos 1 mes"
"264";"0013a20040ebaf2c";"AA0542";"sin datos 1 mes"
"265";"0013a20040ebaf27";"AA0543";"sin datos 1 mes"
"266";"0013a20040ebaf3c";"AA0544";"sin datos 1 mes"
"267";"0013a20040ebaf48";"AA0546";"sin datos 1 mes"
"268";"0013a20040ebaf5d";"AA0550";"sin datos 1 mes"
"269";"0013a20040ebaff3";"AA0553";"sin datos 1 mes"
"270";"0013a20040ebaff0";"AA0554";"sin datos 1 mes"
"271";"0013a20040ebafe5";"AA0555";"sin datos 1 mes"
"272";"0013a20040ebafe6";"AA0556";"sin datos 1 mes"
"273";"0013a20040ebxxxx";"AA0557";"sin datos 1 mes"
"274";"0013a20040ebxxxx";"AA0558";"sin datos 1 mes"
"275";"0013a20040ebxxxx";"AA0560";"sin datos 1 mes"
"276";"0013a20040ebxxxx";"AA0562";"sin datos 1 mes"
"277";"0013a20040ebccce";"AA0563";"sin datos 1 mes"
"278";"0013a20040ebccb8";"AA0566";"sin datos 1 mes"
"279";"0013a20040ebcccb";"AA0568";"sin datos 1 mes"
"280";"0013a20040ebcccc";"AA0569";"sin datos 1 mes"
"281";"0013a20040ebccbe";"AA0576";"sin datos 1 mes"
"282";"0013a20040ebcce0";"AA0581";"sin datos 1 mes"
"283";"0013a20040ebcce3";"AA0587";"sin datos 1 mes"
"284";"0013a20040ebccdf";"AA0588";"sin datos 1 mes"
"285";"0013a20040ebccdb";"AA0589";"sin datos 1 mes"
"286";"0013a20040ebccfb";"AA0590";"sin datos 1 mes"
"287";"0013a20040ebccec";"AA0591";"sin datos 1 mes"
"288";"0013a20040ebcce6";"AA0592";"sin datos 1 mes"
"289";"0013a20040ebcce7";"AA0593";"sin datos 1 mes"
"290";"0013a20040ebcce4";"AA0594";"sin datos 1 mes"
"291";"0013a20040ebccdc";"AA0595";"sin datos 1 mes"
"292";"0013a20040ebccfd";"AA0598";"sin datos 1 mes"
