key;numDMI;Criterio
0013a20040ebaf67;AA0617;sin datos 1 mes
0013a20040ebxxxx;AA0618;sin datos 1 mes
0013a20040ebaf3a;AA0619;sin datos 1 mes
0013a20040ebaf56;AA0620;sin datos 1 mes
0013a20040ebaf4f;AA0622;sin datos 1 mes
0013a20040ebaf62;AA0623;sin datos 1 mes
0013a20040ebaf63;AA0625;sin datos 1 mes
0013a20040ebaf58;AA0626;sin datos 1 mes
0013a20040ebaf42;AA0627;sin datos 1 mes
0013a20040ebb016;AA0631;sin datos 1 mes
0013a20040ebb015;AA0632;sin datos 1 mes
0013a20040ebb012;AA0634;sin datos 1 mes
0013a20041533147;AA0638;sin datos 1 mes
0013a20040ebca1b;AA0639;sin datos 1 mes
0013a20040ebae17;AA0640;sin datos 1 mes
0013a20040ebca4b;AA0641;sin datos 1 mes
0013a20040ebca57;AA0643;sin datos 1 mes
0013a20040ebca41;AA0646;sin datos 1 mes
0013a20040ebca1e;AA0647;sin datos 1 mes
0013a20040ebca1c;AA0648;sin datos 1 mes
0013a20040ebc8af;AA0649;sin datos 1 mes
0013a20040ebca22;AA0652;sin datos 1 mes
0013a20040ebca21;AA0653;sin datos 1 mes
0013a20040ebc8aa;AA0655;sin datos 1 mes
0013a20040ebc890;AA0656;sin datos 1 mes
0013a20040ebc8b0;AA0658;sin datos 1 mes
0013a20040ebc8a9;AA0659;sin datos 1 mes
0013a20040ebc89f;AA0660;sin datos 1 mes
0013a20040ebc8ae;AA0662;sin datos 1 mes
0013a20040ebc8b2;AA0663;sin datos 1 mes
0013a20040ebcc89;AA0664;sin datos 1 mes
0013a20040ebcc85;AA0665;sin datos 1 mes
0013a20040ebcc91;AA0666;sin datos 1 mes
0013a20040ebcca8;AA0667;sin datos 1 mes
0013a20040ebcc93;AA0670;sin datos 1 mes
0013a20040ebccae;AA0672;sin datos 1 mes
0013a20040ebccbb;AA0673;sin datos 1 mes
0013a20040ebccbd;AA0677;sin datos 1 mes
0013a20040ebcc82;AA0679;sin datos 1 mes
0013a20040ebcc87;AA0680;sin datos 1 mes
0013a20040ebcc8c;AA0681;sin datos 1 mes
0013a20040ebcc9a;AA0683;sin datos 1 mes
0013a20040ebcd4d;AA0685;sin datos 1 mes
0013a20040ebaece;AA0686;sin datos 1 mes
0013a20040ebaebc;AA0687;sin datos 1 mes
0013a20040ebaecc;AA0690;sin datos 1 mes
0013a20040ebaeb6;AA0691;sin datos 1 mes
0013a20040ebaec2;AA0693;sin datos 1 mes
0013a20040ebaeb3;AA0698;sin datos 1 mes
0013a20040ebaeb5;AA0701;sin datos 1 mes
0013a20040ebaeb4;AA0702;sin datos 1 mes
0013a20040ebaeb0;AA0703;sin datos 1 mes
0013a20040ebaeae;AA0705;sin datos 1 mes
0013a20040ebaead;AA0707;sin datos 1 mes
0013a20040ebaeb2;AA0708;sin datos 1 mes
0013a20040ebaeaa;AA0709;sin datos 1 mes
0013a20040ebae20;AA0711;sin datos 1 mes
0013a20040ebae1a;AA0712;sin datos 1 mes
0013a20040ebae1b;AA0713;sin datos 1 mes
0013a20040ebadf2;AA0717;sin datos 1 mes
0013a20040ebadee;AA0718;sin datos 1 mes
0013a20040ebae16;AA0719;sin datos 1 mes
0013a20040ebae0e;AA0722;sin datos 1 mes
0013a20040ebae0f;AA0724;sin datos 1 mes
0013a20040ebae0b;AA0727;sin datos 1 mes
0013a20040ebae12;AA0729;sin datos 1 mes
0013a20040ebca1a;AA0730;sin datos 1 mes
0013a20040ebadcc;AA0732;sin datos 1 mes
0013a20040f5ca65;AA0736;sin datos 1 mes
0013a20040f5ca6e;AA0739;sin datos 1 mes
0013a20040ebb1e8;AA0740;sin datos 1 mes
0013a20040f5ca6d;AA0742;sin datos 1 mes
0013a20040f5ca70;AA0743;sin datos 1 mes
0013a20040f5ca71;AA0744;sin datos 1 mes
0013a20040f5ca66;AA0745;sin datos 1 mes
0013a20040f5ca82;AA0748;sin datos 1 mes
0013a20040f5ca77;AA0752;sin datos 1 mes
0013a20040f5ca74;AA0753;sin datos 1 mes
0013a20040f5ca72;AA0756;sin datos 1 mes
0013a20040f5ca76;AA0757;sin datos 1 mes
0013a20040ebb173;AA0762;sin datos 1 mes
0013a20040ebb184;AA0764;sin datos 1 mes
0013a20040ebb17a;AA0765;sin datos 1 mes
0013a20040ebb17f;AA0766;sin datos 1 mes
0013a20040ebb180;AA0767;sin datos 1 mes
0013a20040ebb18c;AA0768;sin datos 1 mes
0013a20040ebb193;AA0769;sin datos 1 mes
0013a20040ebb19a;AA0770;sin datos 1 mes
0013a20040ebb17e;AA0772;sin datos 1 mes
0013a20040ebb18b;AA0773;sin datos 1 mes
0013a20040ebb142;AA0774;sin datos 1 mes
0013a20040ebb137;AA0776;sin datos 1 mes
0013a20040ebb17c;AA0777;sin datos 1 mes
0013a20040ebb18d;AA0778;sin datos 1 mes
0013a20040ebb181;AA0779;sin datos 1 mes
0013a20040ebb139;AA0780;sin datos 1 mes
0013a20040ebb187;AA0781;sin datos 1 mes
0013a20040ebb13e;AA0782;sin datos 1 mes
0013a20040ebb13f;AA0784;sin datos 1 mes
0013a20040ebb141;AA0785;sin datos 1 mes
0013a20040ebaf5c;AA0786;sin datos 1 mes
0013a20040ebaf6e;AA0787;sin datos 1 mes
0013a20040ebaf72;AA0788;sin datos 1 mes
0013a20040ebaf70;AA0790;sin datos 1 mes
0013a20040ebaf55;AA0791;sin datos 1 mes
0013a20040ebaf36;AA0794;sin datos 1 mes
0013a20040ebaf4c;AA0795;sin datos 1 mes
0013a20040ebaf68;AA0796;sin datos 1 mes
0013a20040ebaf6b;AA0797;sin datos 1 mes
0013a20040ebaf61;AA0798;sin datos 1 mes
0013a20040ebaf66;AA0799;sin datos 1 mes
0013a20040ebaf6c;AA0800;sin datos 1 mes
0013a20040ebaf50;AA0804;sin datos 1 mes
0013a20040ebaf60;AA0806;sin datos 1 mes
0013a20040ebaf57;AA0807;sin datos 1 mes
0013a20040ebaf51;AA0809;sin datos 1 mes
0013a20040ebaf4b;AA0810;sin datos 1 mes
0013a20040ebaca0;AA0811;sin datos 1 mes
0013a20040ebaca3;AA0812;sin datos 1 mes
0013a20040ebacae;AA0815;sin datos 1 mes
0013a20040ebacc3;AA0817;sin datos 1 mes
0013a20040ebac9e;AA0819;sin datos 1 mes
0013a20040ebaca9;AA0822;sin datos 1 mes
0013a20040ebac85;AA0826;sin datos 1 mes
0013a20040ebac99;AA0827;sin datos 1 mes
0013a20040ebac86;AA0829;sin datos 1 mes
0013a20040ebac87;AA0830;sin datos 1 mes
0013a20040ebac7e;AA0831;sin datos 1 mes
0013a20040ebac97;AA0832;sin datos 1 mes
0013a20040ebac94;AA0834;sin datos 1 mes
0013a20040ebac88;AA0835;sin datos 1 mes
0013a20040f5ca94;AA0836;sin datos 1 mes
0013a20040f5ca8b;AA0837;sin datos 1 mes
0013a20040f5ca87;AA0838;sin datos 1 mes
0013a20040f5ca88;AA0839;sin datos 1 mes
0013a20040f62fd5;AA0841;sin datos 1 mes
0013a20040f5ca8a;AA0842;sin datos 1 mes
0013a20040f5ca8c;AA0843;sin datos 1 mes
0013a20040f5ca92;AA0845;sin datos 1 mes
0013a20040f5ca8e;AA0846;sin datos 1 mes
0013a20040f5ca89;AA0848;sin datos 1 mes
0013a20040f5ca8f;AA0849;sin datos 1 mes
0013a20040f5ca91;AA0850;sin datos 1 mes
0013a20040f5ca7c;AA0851;sin datos 1 mes
0013a20040f5ca7e;AA0852;sin datos 1 mes
0013a20040f5ca96;AA0855;sin datos 1 mes
0013a20040f5ca79;AA0856;sin datos 1 mes
0013a20040f5ca6b;AA0857;sin datos 1 mes
0013a20040f5ca7a;AA0860;sin datos 1 mes
0013a20040ebaffa;AA0861;sin datos 1 mes
0013a20040ebafff;AA0862;sin datos 1 mes
0013a20040ebb019;AA0865;sin datos 1 mes
0013a20040ebaff7;AA0867;sin datos 1 mes
0013a20040ebb00a;AA0869;sin datos 1 mes
0013a20040ebb000;AA0870;sin datos 1 mes
0013a20040ebaffd;AA0871;sin datos 1 mes
0013a20040ebaffc;AA0872;sin datos 1 mes
0013a20040ebb009;AA0873;sin datos 1 mes
0013a20040ebaffb;AA0874;sin datos 1 mes
0013a20040ebaff9;AA0876;sin datos 1 mes
0013a20040ebb007;AA0879;sin datos 1 mes
0013a20040ebb005;AA0880;sin datos 1 mes
0013a20040ebb00e;AA0882;sin datos 1 mes
0013a20040ebcccf;AA0883;sin datos 1 mes
0013a20040ebccb2;AA0885;sin datos 1 mes
